fonte,licensa,licensa_raw,license_status,url,bairro,lat,lng,quartos,host_id,airbnb_date,official_date
airbnb,,,sem licença,https://www.airbnb.com/rooms/6499,Belm,38.6975,-9.19768,1,14455,2026-07-02,
airbnb,56539,56539/AL.,,https://www.airbnb.com/rooms/25659,Santa Maria Maior,38.71241,-9.12706,1,107347,2026-06-26,2017-09-13
airbnb,28737,28737/AL,sem licença,https://www.airbnb.com/rooms/29396,Santa Maria Maior,38.71156,-9.12987,1,126415,2026-06-25,
airbnb,55695,55695/AL,,https://www.airbnb.com/rooms/29720,Estrela,38.71108,-9.15979,9,128075,2026-06-25,2017-08-31
airbnb,85851,85851/AL.,,https://www.airbnb.com/rooms/29915,Avenidas Novas,38.74571,-9.15264,1,128890,2026-06-25,2018-10-16
airbnb,,,sem licença,https://www.airbnb.com/rooms/33348,Lumiar,38.76427,-9.15301,,144484,2026-06-25,
airbnb,81551,81551/AL,,https://www.airbnb.com/rooms/42519,Misericrdia,38.71062,-9.149,1,136230,2026-06-26,2018-08-28
airbnb,,,sem licença,https://www.airbnb.com/rooms/137461,Misericrdia,38.71413,-9.14425,1,218778,2026-06-25,
airbnb,,,sem licença,https://www.airbnb.com/rooms/138542,Santo Antnio,38.71821,-9.15398,2,676330,2026-06-26,
airbnb,28599,28599/AL,,https://www.airbnb.com/rooms/138929,Santa Maria Maior,38.71231,-9.12918,1,677938,2026-06-25,2016-05-10
airbnb,23108,23108 - AL,,https://www.airbnb.com/rooms/138999,Santa Maria Maior,38.71064,-9.13278,1,678222,2026-06-25,2016-01-05
airbnb,10977,10977/AL,,https://www.airbnb.com/rooms/144851,Misericrdia,38.71261,-9.14456,1,701650,2026-06-25,2015-04-06
airbnb,,,sem licença,https://www.airbnb.com/rooms/149274,Misericrdia,38.70996,-9.15206,1,676330,2026-07-02,
airbnb,31903,31903/AL,,https://www.airbnb.com/rooms/149589,Santa Maria Maior,38.71331,-9.13314,1,721565,2026-06-26,2016-07-07
airbnb,12807,Registration Number: 12807/AL,sem licença,https://www.airbnb.com/rooms/155865,Alcntara,38.70546,-9.17579,2,749485,2026-06-25,
airbnb,59682,59682/AL,,https://www.airbnb.com/rooms/172638,Santa Maria Maior,38.71112823486328,-9.129698753356934,1,823780,2026-06-25,2017-11-15
airbnb,,,sem licença,https://www.airbnb.com/rooms/176153,Misericrdia,38.70781,-9.1451,2,842219,2026-06-26,
airbnb,86946,86946/AL,licença reutilizada 2,https://www.airbnb.com/rooms/178524,Santa Maria Maior,38.70916,-9.13222,3,753902,2026-06-26,2018-10-19
airbnb,,,sem licença,https://www.airbnb.com/rooms/184888,Parque das Naes,38.76861,-9.09669,2,887175,2026-06-23,
airbnb,4045,4045/AL,sem licença,https://www.airbnb.com/rooms/185126,Santa Maria Maior,38.71389,-9.14166,1,184400,2026-06-25,
airbnb,23582,23582/AL,,https://www.airbnb.com/rooms/186996,Santa Maria Maior,38.71677,-9.13359,1,899179,2026-06-25,2016-01-15
airbnb,8023,8023/AL,,https://www.airbnb.com/rooms/187442,Santa Maria Maior,38.71095,-9.13192,2,901710,2026-06-25,2015-02-20
airbnb,19438,19438AL,,https://www.airbnb.com/rooms/189676,Misericrdia,38.70997,-9.14864,,915146,2026-07-02,2015-08-31
airbnb,,,sem licença,https://www.airbnb.com/rooms/193321,Santo Antnio,38.71971,-9.14339,,515924,2026-06-25,
airbnb,61599,61599/AL.,,https://www.airbnb.com/rooms/198480,Lumiar,38.77596,-9.15101,1,640147,2026-07-02,2017-12-30
airbnb,114187,114187/AL,,https://www.airbnb.com/rooms/199461,Santa Maria Maior,38.71095,-9.13673,2,914126,2026-06-26,2021-02-03
airbnb,35037,35037/AL,,https://www.airbnb.com/rooms/208683,Santa Maria Maior,38.71052,-9.13365,2,753902,2026-06-26,2016-09-22
airbnb,25786,25786/AL,,https://www.airbnb.com/rooms/211616,Santa Maria Maior,38.71315,-9.12715,1,1091599,2026-06-25,2016-03-11
airbnb,,,sem licença,https://www.airbnb.com/rooms/214729,Alvalade,38.74825,-9.1459,,1108485,2026-06-26,
airbnb,6743,6743/AL,,https://www.airbnb.com/rooms/217281,Alvalade,38.74877,-9.1478,,1108485,2026-06-25,2015-02-05
airbnb,121858,121858/AL,,https://www.airbnb.com/rooms/220359,Avenidas Novas,38.73513,-9.14904,1,1142308,2026-06-26,2021-12-25
airbnb,82021,82021/AL,licença reutilizada 6,https://www.airbnb.com/rooms/229846,So Vicente,38.71478,-9.1241,1,624278,2026-06-25,2018-09-03
airbnb,22027,22027/AL,,https://www.airbnb.com/rooms/250288,Santa Maria Maior,38.71379,-9.13521,1,647439,2026-06-25,2015-11-19
airbnb,2543,2543/AL,,https://www.airbnb.com/rooms/250491,Arroios,38.71686,-9.14014,1,1312785,2026-06-25,2013-10-04
airbnb,77756,77756/AL,,https://www.airbnb.com/rooms/250526,Misericrdia,38.71004,-9.15209,1,1313374,2026-06-26,2018-07-16
airbnb,,,sem licença,https://www.airbnb.com/rooms/252744,Misericrdia,38.71149,-9.15204,3,1327000,2026-07-02,
airbnb,3037,3037/AL,licença invalida (distancia 192.0652586054243),https://www.airbnb.com/rooms/256122,Santo Antnio,38.72414,-9.14371,2,1346813,2026-06-25,2013-10-18
airbnb,56195,56195/AL,,https://www.airbnb.com/rooms/257480,So Vicente,38.71343,-9.12557,1,152243043,2026-06-25,2017-09-07
airbnb,13495,13495/AL,,https://www.airbnb.com/rooms/257560,Santa Maria Maior,38.71081,-9.12816,1,1328660,2026-06-26,2015-05-12
airbnb,45101,45101/AL,,https://www.airbnb.com/rooms/261733,Misericrdia,38.71165,-9.1463,2,1373142,2026-06-25,2017-05-11
airbnb,,,sem licença,https://www.airbnb.com/rooms/262616,Santo Antnio,38.71774,-9.15487,1,996180,2026-06-26,
airbnb,44083,44083-AL,,https://www.airbnb.com/rooms/267235,Santo Antnio,38.7225,-9.15488,2,1039097,2026-06-26,2017-05-02
airbnb,24027,24027/AL,,https://www.airbnb.com/rooms/271430,Santa Maria Maior,38.71291,-9.14234,2,1416183,2026-06-25,2009-08-21
airbnb,35949,35949/AL,sem licença,https://www.airbnb.com/rooms/279549,Misericrdia,38.71001,-9.14374,3,1457564,2026-06-25,
airbnb,15252,15252/AL,licença reutilizada 4,https://www.airbnb.com/rooms/281407,Santo Antnio,38.72621,-9.14318,3,1466881,2026-06-25,2015-06-05
airbnb,15255,AL15255,,https://www.airbnb.com/rooms/286706,Santo Antnio,38.72486,-9.14329,1,1466881,2026-06-25,2015-06-05
airbnb,2696,2696/AL,,https://www.airbnb.com/rooms/291676,Misericrdia,38.71308,-9.14514,3,682628,2026-06-25,2014-07-10
airbnb,61842,61842/AL,,https://www.airbnb.com/rooms/291999,Misericrdia,38.71099,-9.14829,2,1029524,2026-06-26,2018-01-04
airbnb,2156,2156/AL,,https://www.airbnb.com/rooms/299321,Santo Antnio,38.7213,-9.14437,1,9416641,2026-06-25,2014-08-28
airbnb,36052,36052/AL,licença reutilizada 2,https://www.airbnb.com/rooms/301264,Arroios,38.72139,-9.14023,2,1552056,2026-06-25,2016-10-20
airbnb,93932,93932/AL,sem licença,https://www.airbnb.com/rooms/301871,Santo Antnio,38.72419,-9.1474,1,1552056,2026-06-25,
airbnb,66950,66950/AL,,https://www.airbnb.com/rooms/48025,Misericrdia,38.71195,-9.14463,1,218778,2026-06-25,2018-03-20
airbnb,78247,78247/AL,licença reutilizada 7,https://www.airbnb.com/rooms/76132,Campolide,38.72727,-9.16273,1,405842,2026-06-25,2018-07-19
airbnb,36052,36052/AL,licença reutilizada 2,https://www.airbnb.com/rooms/303692,Arroios,38.72138,-9.13945,2,1552056,2026-06-25,2016-10-20
airbnb,2699,2699/AL,,https://www.airbnb.com/rooms/304025,Misericrdia,38.71308,-9.14514,3,682628,2026-06-25,2014-07-10
airbnb,61340,61340/AL,,https://www.airbnb.com/rooms/306191,Misericrdia,38.71279,-9.14503,1,1574678,2026-06-26,2017-12-27
airbnb,722,722/AL,,https://www.airbnb.com/rooms/307666,Parque das Naes,38.7787,-9.09634,1,1582924,2026-06-23,2014-12-17
airbnb,84334,84334/AL,licença reutilizada 2,https://www.airbnb.com/rooms/307683,Santa Maria Maior,38.71143,-9.12778,,727771,2026-06-26,2018-10-03
airbnb,1587,AL 1587,,https://www.airbnb.com/rooms/311040,Santa Maria Maior,38.71235,-9.1275,1,1599678,2026-06-26,2013-04-23
airbnb,1627,AL 1627,,https://www.airbnb.com/rooms/311047,Santa Maria Maior,38.71252,-9.12911,1,1599678,2026-06-26,2013-04-23
airbnb,46752,46752/AL,,https://www.airbnb.com/rooms/322284,Santa Maria Maior,38.70989,-9.13637,2,1650507,2026-06-25,2017-05-30
airbnb,85271,85271/AL,,https://www.airbnb.com/rooms/327945,Santa Maria Maior,38.70943,-9.13722,,1675942,2026-06-25,2018-10-12
airbnb,52334,52334/AL,,https://www.airbnb.com/rooms/344035,Misericrdia,38.7114143371582,-9.146851539611816,2,1730158,2026-06-26,2017-07-21
airbnb,39408,39408/AL,,https://www.airbnb.com/rooms/348764,Misericrdia,38.71246,-9.15262,1,1767259,2026-07-02,2017-01-30
